FID,X,Y,Mean_H,Std_H,Mean_Mean_Slope,Std_Mean_Slope,Max_Max_Slope,Mean_Slope_Std,Mean_Curvature,Upper_Mean_Slope,Lower_Mean_Slope,Inflection_Count,Max_Curvature,Std_Curvature,Mean_Slope_deg_x_C,C_over_Gamma_Mean_H,tan_Phi_over_tan_Mean_Slope,Mean_Slope_x_Gamma,Phi_over_Mean_Slope,Mean_Max_Slope_x_C,Gamma_Mean_H_sin_Mean_Slope,C_over_Mean_Profile_L_Gamma,tan_Phi_over_Mean_Slope_Std,Upper_Slope_x_C,Phi_over_Gamma_over_Mean_H,Curvature_x_C_over_Gamma,Min_FoS
10,1696021.97,3947529.292,142.3333,53.6739,11.4292,0.5183,39.956,8.1997,-0.0028,11.9752,9.9571,22,0.0086,0.0089,514.3138,0.0141,2.3066,257.1569,2.1874,1798.0186,634.5973,0.002,0.0569,538.8819,0.0078,-0.0057,
11,1694766.901,3947368.389,148.3333,56.0139,10.2283,1.1628,27.7314,7.0253,-0.0017,11.5778,7.4209,26,0.0105,0.0087,460.2745,0.0135,2.5843,230.1372,2.4442,1247.9121,592.6439,0.0014,0.0664,521.0027,0.0075,-0.0035,
12,1694944.374,3947139,111.3333,33.069,10.7513,0.9597,34.96,6.9119,0.0063,10.9448,10.5369,20.3333,0.0119,0.0042,483.8098,0.018,2.4558,241.9049,2.3253,1573.2,467.2998,0.002,0.0675,492.5151,0.01,0.0126,
13,1697199.871,3947404.406,137,25.5082,12.4158,0.6089,34.8381,8.8008,-0.0033,15.2068,10.747,18.6667,0.0039,0.0078,558.7131,0.0146,2.1181,279.3566,2.0136,1567.7137,662.7543,0.0023,0.053,684.3058,0.0081,-0.0066,
14,1693621.616,3947264.521,128,41.7692,11.0414,0.8787,29.8282,6.87,-0.0063,10.9617,10.0422,20,0.0085,0.0144,496.8619,0.0156,2.3897,248.431,2.2642,1342.2672,551.5714,0.0019,0.0679,493.2772,0.0087,-0.0125,
15,1693176.625,3946938.5,80.6667,16.5798,11.3346,2.2802,44.0423,7.7757,0.0239,14.7501,8.8917,7.3333,0.0393,0.0122,510.057,0.0248,2.3263,255.0285,2.2056,1981.9055,356.717,0.0051,0.06,663.7547,0.0138,0.0478,
16,1693351.99,3946861.256,65.6667,9.5685,10.597,2.4114,29.894,8.1149,-0.0062,12.3371,7.698,6.3333,0.0045,0.0079,476.8669,0.0305,2.4924,238.4335,2.3591,1345.2306,271.7132,0.0051,0.0575,555.1677,0.0169,-0.0123,
17,1696476.003,3947308.75,143.3333,31.8469,10.3992,0.5348,35.4009,8.0685,0.0045,12.7791,8.059,25.3333,0.0119,0.01,467.9646,0.014,2.5409,233.9823,2.404,1593.0387,582.1307,0.0015,0.0578,575.0583,0.0078,0.0089,
18,1693008.989,3947083.65,151.3333,25.85,12.6438,1.8898,41.1916,7.9875,0.0163,8.5162,17.9349,14,0.0419,0.0181,568.9689,0.0132,2.0787,284.4844,1.9773,1853.6205,745.315,0.0025,0.0584,383.2268,0.0073,0.0326,
19,1696951.619,3947017.869,133.3333,37.6504,11.2602,1.3168,33.5187,8.3602,-0.002,12.534,6.4485,20,0.0085,0.0103,506.71,0.015,2.3421,253.355,2.2202,1508.3434,585.7959,0.0019,0.0558,564.0319,0.0083,-0.0039,
20,1693484.872,3946705.75,70.3333,8.9567,9.7507,1.0593,16.7131,4.0932,0.0029,9.7533,10.2895,6.6667,0.0212,0.0131,438.7834,0.0284,2.7135,219.3917,2.5639,752.0909,268.0158,0.0046,0.1139,438.8986,0.0158,0.0058,
21,1693969.504,3946854.995,124.3333,39.752,11.1755,1.3591,27.1848,6.4371,0.0013,10.1369,10.2537,17.3333,0.0079,0.0068,502.8973,0.0161,2.3603,251.4486,2.237,1223.3141,542.1969,0.0021,0.0724,456.1586,0.0089,0.0026,
22,1695642,3946847.25,187.6667,30.1699,10.868,1.6916,27.5105,7.3215,0.0028,10.882,10.4222,35.6667,0.005,0.0021,489.0599,0.0107,2.4288,244.53,2.3003,1237.9713,796.1395,0.0012,0.0637,489.6888,0.0059,0.0057,
23,1693221.125,3946560.83,89.3333,10.3387,9.365,1.5503,23.4499,5.7084,-0.0103,10.9764,6.2753,11.3333,-0.0065,0.0036,421.4239,0.0224,2.8275,210.7119,2.6695,1055.2438,327.0729,0.0037,0.0817,493.9368,0.0124,-0.0206,6.2196
24,1693527.004,3946432,98,35.9537,10.241,2.2676,23.3814,5.7501,-0.0007,9.788,9.1969,11,0.0105,0.0125,460.8435,0.0204,2.581,230.4218,2.4412,1052.1609,392.0234,0.0031,0.0811,440.4606,0.0113,-0.0014,
25,1693566.25,3946220.25,95.6667,39.0925,9.123,2.6805,24.9201,5.8427,0.0122,8.6563,8.0053,10,0.0166,0.0046,410.5345,0.0209,2.9038,205.2672,2.7403,1121.4066,341.288,0.0031,0.0798,389.5344,0.0116,0.0244,
26,1696058.251,3946457.496,126,14.5144,10.8235,0.591,34.2359,7.0779,0.006,8.9175,12.6794,26.3333,0.0085,0.0024,487.0555,0.0159,2.439,243.5277,2.3098,1540.6133,532.366,0.0015,0.0659,401.2867,0.0088,0.0121,
27,1694361.873,3946218,57.6667,10.9646,7.3549,1.0383,15.8541,3.6688,-0.0033,8.7941,7.6346,10.6667,0.0002,0.0049,330.9714,0.0347,3.6126,165.4857,3.3991,713.4362,166.0999,0.0037,0.1271,395.7356,0.0193,-0.0066,
28,1693329.591,3946090.924,44.6667,11.4407,8.326,1.9562,23.1079,5.0161,0.0122,10.3143,7.9153,4.6667,0.0409,0.0242,374.6715,0.0448,3.1863,187.3358,3.0026,1039.8557,145.5298,0.0061,0.093,464.145,0.0249,0.0244,
29,1695239.622,3946036.244,61.6667,18.8385,7.6333,2.0844,26.9061,5.605,-0.0089,4.3982,7.6697,8.3333,0.0001,0.0101,343.4975,0.0324,3.4794,171.7488,3.2751,1210.7742,184.3045,0.0043,0.0832,197.9174,0.018,-0.0179,
30,1694628.875,3946658.751,157,16.9706,10.518,1.234,31.8753,6.7242,0.001,11.8156,10.6594,38.6667,0.0062,0.0041,473.311,0.0127,2.5116,236.6555,2.3769,1434.3904,644.8395,0.0011,0.0693,531.701,0.0071,0.002,
31,1693734.873,3945909.503,111.6667,16.9378,9.5417,0.8404,20.7353,5.1239,-0.0037,10.563,7.917,16.3333,0.007,0.0093,429.3746,0.0179,2.7742,214.6873,2.6201,933.0886,416.4837,0.0025,0.091,475.3334,0.01,-0.0074,
32,1693489.899,3945753.169,49.3333,10.403,7.8948,2.1738,16.664,3.7415,0.0019,5.4887,7.4507,6,0.0056,0.0027,355.2672,0.0405,3.3627,177.6336,3.1666,749.8799,152.4642,0.0053,0.1246,246.9907,0.0225,0.0037,
33,1695013.623,3946062.5,98.6667,17.442,7.3735,0.1781,24.356,5.7763,-0.0005,7.9423,7.0661,20.6667,0.0018,0.0032,331.8069,0.0203,3.6034,165.9035,3.3905,1096.0179,284.9075,0.0018,0.0807,357.4019,0.0113,-0.001,
34,1695412.5,3945882.505,102.3333,38.5948,9.9889,0.8086,35.068,6.7533,0.0031,9.8893,8.5489,20.6667,0.0096,0.0089,449.4991,0.0195,2.6476,224.7495,2.5028,1578.0611,399.3844,0.0021,0.069,445.0186,0.0109,0.0062,
35,1694387.625,3945527.24,48.6667,11.1455,11.7324,3.0001,24.0187,5.3858,0.0002,9.2987,12.6597,3,0.0146,0.0102,527.9584,0.0411,2.2453,263.9792,2.1308,1080.8428,222.6586,0.0079,0.0866,418.4406,0.0228,0.0003,
36,1694539.25,3945831.5,106.6667,38.2303,8.5453,1.0058,31.3951,6.3971,0.0001,9.1678,7.9579,19.3333,0.0055,0.0062,384.5372,0.0188,3.1034,192.2686,2.9256,1412.7791,356.618,0.0019,0.0729,412.5519,0.0104,0.0002,
37,1694115.749,3946089.252,116,33.3567,8.8867,0.671,29.0022,6.3803,-0.0056,9.5553,7.0798,29.3333,0.0012,0.0049,399.8997,0.0172,2.9823,199.9499,2.8132,1305.1002,403.1938,0.0014,0.0731,429.9886,0.0096,-0.0112,
38,1693896.877,3945480.003,105,22.1058,9.8021,0.6704,38.4231,7.2605,-0.0183,12.9895,6.7395,13,-0.0026,0.0176,441.0958,0.019,2.699,220.5479,2.5505,1729.041,402.2064,0.0026,0.0642,584.5262,0.0106,-0.0367,
39,1711884.698,3945291.952,58.3333,9.9778,15.7704,2.4708,42.702,10.0814,-0.0592,20.6466,17.7015,4.3333,0.0112,0.0502,709.6683,0.0343,1.6512,354.8342,1.5852,1921.591,356.7155,0.0064,0.0463,929.0973,0.019,-0.1185,
40,1693667.462,3945288.007,86.6667,45.2426,8.5359,2.5549,29.6465,5.993,-0.0118,8.6027,9.0809,13.3333,-0.0024,0.008,384.1162,0.0231,3.1068,192.0581,2.9288,1334.0912,289.4372,0.0027,0.0778,387.1222,0.0128,-0.0236,
41,1700198.197,3945157.591,39,7.7889,10.2945,2.8196,28.5224,5.7585,-0.0165,11.0238,9.4255,5.3333,0.006,0.0242,463.2529,0.0513,2.5673,231.6264,2.4285,1283.5077,156.8162,0.006,0.081,496.0719,0.0285,-0.0331,
42,1689951.331,3945462.856,181.3333,73.7579,11.2831,1.6462,32.8285,8.3732,-0.0085,10.421,11.3519,25.3333,-0.0046,0.0048,507.7378,0.011,2.3372,253.8689,2.2157,1477.2844,798.2775,0.0016,0.0557,468.9435,0.0061,-0.017,
43,1690584.127,3945318.768,108.3333,20.1715,12.7667,1.9926,42.1748,8.0401,0.0084,16.0267,11.2985,15,0.0282,0.014,574.5036,0.0185,2.058,287.2518,1.9582,1897.8663,538.6448,0.0029,0.058,721.2031,0.0103,0.0168,
44,1696195.123,3945780.753,163,34.477,9.8094,1.5947,35.6585,7.2906,0.0044,11.3133,9.5138,40.3333,0.0104,0.0043,441.4221,0.0123,2.697,220.7111,2.5486,1604.6324,624.835,0.001,0.064,509.1,0.0068,0.0088,
45,1689519.096,3945448.871,175.6667,76.526,11.0233,1.5051,36.9532,7.5673,-0.0056,12.1531,9.3722,24,-0.0019,0.0027,496.0477,0.0114,2.3938,248.0239,2.2679,1662.8921,755.7491,0.0017,0.0616,546.8906,0.0063,-0.0113,
46,1699890.026,3945050.209,78,32.5679,12.8089,2.2955,30.743,8.8096,0.0018,9.3927,16.45,7.6667,0.0187,0.024,576.3996,0.0256,2.051,288.1998,1.9518,1383.4351,389.0828,0.0047,0.0529,422.6713,0.0142,0.0035,
47,1690277.014,3945264.976,167,49.0102,11.9167,0.924,32.5246,7.9477,0.0093,10.843,10.7929,24,0.0247,0.0114,536.2493,0.012,2.2096,268.1246,2.0979,1463.6071,775.8807,0.0017,0.0587,487.9334,0.0067,0.0186,
48,1696616.908,3945820.326,145.3333,6.5997,9.4165,1.1992,34.5002,8.2636,-0.0059,14.7693,7.4894,30.3333,0.0042,0.0113,423.741,0.0138,2.8117,211.8705,2.6549,1552.5073,535.0031,0.0013,0.0564,664.6163,0.0076,-0.0118,
49,1698966.879,3944877.996,103,40.431,12.9563,0.7484,41.364,9.2088,0.0013,11.5121,15.7562,12,0.0421,0.0297,583.0337,0.0194,2.0269,291.5168,1.9296,1861.3814,519.6018,0.0032,0.0506,518.0459,0.0108,0.0026,
50,1695501.873,3945224.75,160.3333,70.0206,10.2781,1.1273,30.3497,6.7348,0.0006,10.8513,10.8627,36,0.0035,0.0025,462.5152,0.0125,2.5715,231.2576,2.4324,1365.7385,643.6733,0.0012,0.0692,488.3088,0.0069,0.0012,
51,1709055.857,3945128.361,128.6667,47.5908,13.0819,2.5214,34.069,8.5093,-0.0056,17.0756,11.6319,11.6667,0.0082,0.0108,588.6833,0.0155,2.0067,294.3417,1.911,1533.1065,655.2624,0.0032,0.0548,768.4,0.0086,-0.0111,
52,1690462.875,3944913.248,183.6667,19.6695,10.8281,1.2206,33.9692,7.3724,0.0038,13.089,10.7945,21.6667,0.0099,0.0064,487.2631,0.0109,2.438,243.6316,2.3088,1528.6136,776.3418,0.0017,0.0633,589.0033,0.006,0.0075,
53,1695305.875,3944986.498,108.6667,45.7262,10.587,2.1468,28.5408,6.9512,-0.0031,11.105,9.3733,19.3333,0.0015,0.0065,476.4135,0.0184,2.4948,238.2068,2.3614,1284.3355,449.2144,0.0019,0.0671,499.7238,0.0102,-0.0061,
54,1710144.556,3944868.037,86.3333,17.2111,14.2692,2.7285,45.061,8.671,-0.0341,17.5968,9.5325,8.3333,0.0162,0.0439,642.1118,0.0232,1.8335,321.0559,1.752,2027.7433,478.782,0.0043,0.0538,791.8557,0.0129,-0.0683,
55,1693642.955,3944908.541,76.6667,13.5236,9.1069,0.4483,24.1838,6.3873,-0.002,8.5541,9.7522,12,0.0064,0.0067,409.8093,0.0261,2.909,204.9046,2.7452,1088.27,273.027,0.003,0.073,384.9336,0.0145,-0.0041,
56,1700181.612,3944849.505,68.3333,10.403,11.6863,1.3303,29.4014,6.0286,-0.004,9.0368,10.7151,9,0.0199,0.0173,525.8854,0.0293,2.2544,262.9427,2.1392,1323.0637,311.4266,0.0041,0.0773,406.6558,0.0163,-0.008,
57,1709206.109,3944991.446,134,61.4709,11.6183,0.8001,43.9226,8.8057,-0.0035,12.1658,11.9903,19.3333,0.0147,0.0135,522.8222,0.0149,2.268,261.4111,2.1518,1976.5174,607.1917,0.0023,0.053,547.4613,0.0083,-0.007,
58,1711886.882,3944939.806,128,52.3832,12.8603,1.7348,32.8109,8.4791,-0.005,12.3421,12.967,16.3333,0.0188,0.0197,578.7146,0.0156,2.0425,289.3573,1.944,1476.489,641.0162,0.0024,0.055,555.3964,0.0087,-0.0101,
59,1709483.47,3945020.497,123.6667,56.8057,11.6627,2.7231,30.31,6.152,0.0007,12.7811,9.4942,21,0.016,0.0108,524.8193,0.0162,2.2591,262.4097,2.1436,1363.9489,562.4795,0.0021,0.0758,575.1496,0.009,0.0015,
60,1709749.766,3944963.768,132.6667,24.5809,12.7934,1.4051,31.3297,7.7766,0.0013,15.9255,11.9125,13,0.0225,0.0178,575.7035,0.0151,2.0536,287.8517,1.9541,1409.8379,660.9875,0.0028,0.06,716.6463,0.0084,0.0026,
61,1709198.689,3944670.736,81.6667,10.0775,14.5614,1.0898,34.6722,9.8285,-0.0093,11.8651,19.7079,10.6667,0.0284,0.0267,655.2618,0.0245,1.7951,327.6309,1.7169,1560.2491,461.9785,0.0038,0.0474,533.9312,0.0136,-0.0187,
62,1693466.551,3944587.52,56.6667,26.837,10.3806,2.6978,25.5877,6.1264,-0.0118,8.7964,11.0298,5.3333,0.019,0.0279,467.1288,0.0353,2.5456,233.5644,2.4083,1151.4461,229.7382,0.0053,0.0761,395.8369,0.0196,-0.0236,
63,1694265.375,3944916.002,97.6667,52.2962,8.7249,2.2463,32.6217,6.5706,-0.0023,8.8929,7.7804,23.3333,0.0063,0.0067,392.6214,0.0205,3.0385,196.3107,2.8654,1467.978,333.3404,0.0017,0.071,400.1804,0.0114,-0.0046,
64,1696286.627,3944576.241,84,20.5426,9.0098,1.7491,34.5286,6.0356,-0.0118,11.1825,3.9651,10,-0.0093,0.0032,405.4423,0.0238,2.9409,202.7212,2.7747,1553.7868,295.9814,0.0035,0.0773,503.2119,0.0132,-0.0236,
65,1696647.295,3944744.31,153,5.3541,10.5058,0.8583,28.8179,7.1857,-0.0089,15.0404,6.9909,22.6667,-0.0015,0.0064,472.7622,0.0131,2.5145,236.3811,2.3796,1296.8062,627.6901,0.0017,0.0649,676.8191,0.0073,-0.0178,
66,1698041.528,3944450.622,77,10.6771,13.0101,1.8067,30.7825,7.4527,-0.0006,12.3591,15.1702,9,0.0198,0.0247,585.4534,0.026,2.0182,292.7267,1.9216,1385.2108,390.0245,0.0045,0.0626,556.1605,0.0144,-0.0012,
67,1698427.202,3944637.169,82.3333,28.7789,12.6256,1.6224,29.9388,7.6793,0.0037,13.3832,12.813,12,0.0361,0.0241,568.1533,0.0243,2.0818,284.0766,1.9801,1347.2448,404.919,0.0031,0.0607,602.245,0.0135,0.0075,
68,1695898.623,3944598.254,61.6667,29.0096,6.6064,2.7899,25.0072,4.9979,-0.0038,9.3185,3.5409,12.3333,0.0061,0.0074,297.289,0.0324,4.0262,148.6445,3.7842,1125.3256,159.6298,0.0033,0.0933,419.3326,0.018,-0.0076,
69,1700170.998,3944541.897,77.6667,14.0554,11.6067,1.1101,28.3747,7.6286,0.001,11.3409,11.3018,12.6667,0.0253,0.0268,522.3023,0.0258,2.2703,261.1511,2.1539,1276.8633,351.5844,0.0035,0.0611,510.3409,0.0143,0.002,
70,1699633.721,3944703.784,101.3333,40.8357,8.8168,3.0235,38.8294,6.9438,-0.0088,8.0885,9.5616,20.6667,-0.0018,0.0054,396.7576,0.0197,3.0063,198.3788,2.8355,1747.3247,349.4697,0.0019,0.0672,363.9811,0.011,-0.0177,
71,1711229.208,3944810.15,171.6667,13.8884,14.9286,1.4603,51.6443,11.4169,-0.0051,13.4512,16.0146,19,0.0043,0.0072,671.7859,0.0117,1.749,335.893,1.6746,2323.9916,995.0369,0.0017,0.0408,605.3048,0.0065,-0.0102,
72,1690009.751,3944624.498,118.6667,49.0261,10.8541,0.5082,31.6043,7.773,0.0057,9.3809,10.6978,28.6667,0.0184,0.0091,488.435,0.0169,2.432,244.2175,2.3033,1422.192,502.7849,0.0015,0.06,422.1411,0.0094,0.0115,
73,1694062.498,3944516.998,142.6667,44.6044,9.3265,0.985,27.1571,6.1022,0.0038,9.2917,10.3647,23,0.0135,0.0069,419.691,0.014,2.8393,209.8455,2.6805,1222.0712,520.2115,0.0017,0.0764,418.1245,0.0078,0.0076,
74,1711892.998,3944462.25,124.3333,19.7372,11.412,0.2175,34.9446,8.1693,-0.0025,9.6807,12.9851,23,0.0177,0.0171,513.5387,0.0161,2.3101,256.7694,2.1907,1572.5068,553.5194,0.0017,0.0571,435.6323,0.0089,-0.0051,
75,1700145.145,3944256.054,90.3333,22.0958,12.158,0.6934,29.2002,6.8496,-0.01,9.4103,10.59,10,-0.006,0.005,547.1085,0.0221,2.1644,273.5542,2.0563,1314.0071,428.0601,0.0035,0.0681,423.4619,0.0123,-0.0199,
76,1697227.25,3944232,80.6667,17.5942,12.7025,3.2081,31.9251,7.2639,-0.0239,15.4268,9.7042,8.6667,-0.0037,0.0247,571.6118,0.0248,2.0688,285.8059,1.9681,1436.6292,399.0976,0.0035,0.0642,694.2078,0.0138,-0.0478,
77,1690176.878,3944140,64.3333,22.8668,11.0558,3.4925,33.2067,6.8319,-0.0234,11.7111,8.9332,8.3333,0.0032,0.0188,497.5089,0.0311,2.3865,248.7545,2.2613,1494.2998,277.5786,0.004,0.0683,526.9977,0.0173,-0.0469,
78,1700180.25,3944006.75,60.3333,15.3261,11.0009,1.3609,30.9967,6.9839,0.0067,10.2112,10.8774,6.6667,0.0205,0.0098,495.041,0.0331,2.3987,247.5205,2.2725,1394.8499,259.0444,0.0046,0.0668,459.5044,0.0184,0.0134,
79,1711030.557,3944722.479,151,72.1665,12.2424,4.0581,46.0762,8.7513,0.0035,12.5591,10.5069,36.6667,0.0055,0.0014,550.9072,0.0132,2.1491,275.4536,2.0421,2073.4271,720.4322,0.0012,0.0533,565.1573,0.0074,0.007,
80,1694706.75,3944783.001,156.3333,42.2085,9.4623,0.3086,34.4015,6.7879,0.0015,10.5636,8.7163,38.6667,0.0047,0.0044,425.803,0.0128,2.7979,212.9015,2.6421,1548.0665,578.2715,0.001,0.0687,475.3615,0.0071,0.0031,
81,1695345.749,3944398.002,150.3333,33.7277,10.1368,2.0143,38.9886,7.6395,0.0051,9.4602,6.9151,26,0.0078,0.0025,456.1565,0.0133,2.6081,228.0782,2.4663,1754.4888,595.3173,0.0016,0.061,425.7073,0.0074,0.0103,
82,1689088.329,3944522.922,179.3333,67.6083,10.09,0.9426,35.7295,7.7379,0.0002,11.1204,8.6399,36,0.0055,0.0042,454.0502,0.0112,2.6205,227.0251,2.4777,1607.8284,706.9117,0.0011,0.0603,500.4195,0.0062,0.0005,
83,1694003.002,3944111.243,140.3333,31.4784,9.4969,1.6835,33.8807,6.4125,-0.0027,10.1286,8.7797,28.6667,-0.0013,0.0011,427.3598,0.0143,2.7875,213.6799,2.6324,1524.6315,520.9685,0.0014,0.0727,455.7848,0.0079,-0.0053,
84,1695000.5,3943958.244,45.3333,11.7851,7.5875,1.0345,21.2491,5.1416,0.0007,7.5143,5.0452,8,0.0259,0.0178,341.4385,0.0441,3.5006,170.7192,3.2949,956.2095,134.6813,0.0043,0.0907,338.145,0.0245,0.0014,2.9704
85,1690026.875,3943970.746,94.6667,8.4984,12.5853,1.685,42.7859,11.5491,0.0088,9.3804,6.3137,10,0.0349,0.0188,566.3366,0.0211,2.0887,283.1683,1.9865,1925.3677,464.1102,0.0031,0.0404,422.1185,0.0117,0.0176,
86,1690657.726,3944322.743,147,56.5744,8.7642,1.135,40.4018,6.6562,0.0005,8.4898,10.3123,29,0.0106,0.0075,394.3891,0.0136,3.0247,197.1945,2.8525,1818.0801,503.9584,0.0015,0.0701,382.0388,0.0076,0.0011,
87,1698840.807,3944380.8,118.3333,11.6142,10.3201,1.8765,39.0595,7.5476,-0.0048,11.2645,10.4695,28.3333,0.0023,0.0083,464.4032,0.0169,2.5608,232.2016,2.4225,1757.6759,476.9786,0.0014,0.0618,506.9037,0.0094,-0.0095,
88,1700247.565,3943850.727,57.6667,20.4179,9.8766,1.3011,29.6302,6.7716,0.0108,9.1717,11.7147,8,0.0215,0.011,444.4474,0.0347,2.6783,222.2237,2.5312,1333.3603,222.5562,0.0044,0.0689,412.725,0.0193,0.0216,
89,1711152.75,3943985.496,107.6667,15.0849,14.7433,1.7462,34.3578,9.0359,0.0118,13.2491,12.9066,11.3333,0.0263,0.0108,663.4473,0.0186,1.772,331.7237,1.6957,1546.1014,616.4982,0.0033,0.0516,596.2106,0.0103,0.0236,
90,1711458.501,3944436.753,205.3333,48.0023,13.6908,1.791,44.9584,9.8068,-0.0036,12.994,11.9185,37.3333,0.0041,0.0082,616.0842,0.0097,1.9142,308.0421,1.826,2023.1282,1093.4684,0.0011,0.0475,584.7292,0.0054,-0.0072,
91,1690953.809,3943962.827,157,24.59,9.5906,1.2094,33.0436,6.4519,0.0053,10.1836,8.8191,24,0.0173,0.0127,431.5789,0.0127,2.7597,215.7894,2.6067,1486.9639,588.5417,0.0018,0.0723,458.2613,0.0071,0.0105,
92,1693164.224,3943894.033,79.6667,10.6562,9.6624,0.8295,33.7919,6.4886,-0.0037,11.0756,8.7196,14.6667,-0.0019,0.0019,434.8064,0.0251,2.7388,217.4032,2.5874,1520.637,300.8566,0.0026,0.0719,498.4029,0.0139,-0.0073,
93,1698918.872,3943924.994,105.6667,16.8193,10.5296,0.5664,29.9801,6.5826,-0.0035,9.025,9.1002,17.3333,0.0001,0.0036,473.8318,0.0189,2.5087,236.9159,2.3743,1349.1024,434.4724,0.0022,0.0708,406.1242,0.0105,-0.0069,
94,1699323.875,3943960.997,114.6667,18.3545,10.4264,0.9534,28.7367,6.9689,0.0064,6.9554,10.3673,16,0.0147,0.0078,469.1886,0.0174,2.5341,234.5943,2.3978,1293.1506,466.9092,0.0022,0.0669,312.9937,0.0097,0.0127,
95,1695657.25,3943919.743,110.3333,19.1543,9.1523,0.5009,28.3155,6.9394,0.0109,7.8486,6.4504,19.6667,0.0237,0.0098,411.852,0.0181,2.8943,205.926,2.7316,1274.1966,394.8634,0.0019,0.0672,353.1852,0.0101,0.0218,
96,1711956.248,3944008.344,166.6667,57.4127,12.6341,1.0356,38.7378,8.8375,-0.0105,11.3582,13.289,25.6667,-0.0052,0.0072,568.5324,0.012,2.0803,284.2662,1.9788,1743.1988,820.2121,0.0015,0.0528,511.1206,0.0067,-0.021,
97,1693458.423,3943928.454,111,38.9444,9.092,1.6071,22.7562,5.0248,0.0033,7.863,10.0949,22,0.0146,0.0087,409.1393,0.018,2.9139,204.5697,2.7497,1024.0312,394.6548,0.0019,0.0928,353.8349,0.01,0.0066,
98,1700166.289,3943640.731,76.3333,27.8129,9.4585,2.2073,24.2937,6.2522,0.0032,11.4162,7.3125,8.6667,0.0064,0.0026,425.6332,0.0262,2.799,212.8166,2.6431,1093.2181,282.2427,0.0037,0.0746,513.7309,0.0146,0.0065,
99,1697987.5,3944035.248,118.6667,24.6892,10.3012,1.9936,35.4341,6.799,0.0027,11.0108,7.9792,27.6667,0.0068,0.0033,463.5537,0.0169,2.5656,231.7768,2.4269,1594.5354,477.4566,0.0015,0.0686,495.484,0.0094,0.0055,
